source_title,label
Data Engineer,Data Science
Principal Applied AI Engineer,Data Science
GoLang Engineer,Software Engineering
Software Engineer in Test,Software Engineering
UX Designer,UI/UX
Sr. Distinguished Data Engineer,Data Science
VBA.Net Developer,Software Engineering
Data Scientist,Data Science
DevOps Engineer,DevOps
Lead Software Engineer,Software Engineering
User Experience Accessibility Analyst,UI/UX
Senior Software Engineer,Software Engineering
Controls/ Data Analytics Engineer (Senior - Advisor),Data Science
"Manager II, Data Science",Data Science
NVIDIA Jetson - Embedded System Developer,Software Engineering
"Senior Data Engineer (Azure, Python, SQL)",Data Science
"QA Automation with Gherkin || Plano, TX || W2 Only",QA
Senior Firmware Engineer,Software Engineering
Video Training Content Developer (Contract) (Hybrid) – 4316,Software Engineering
Computer Vision/ Machine Learning Engineer,Data Science
Automation Tester (Mobile),QA
DevOps Engineer[Fulltime Only},DevOps
C#/.NET Developer,Software Engineering
Project Delivery Specialist - Integration Developer,Software Engineering
Regional Quality Assurance Manager,QA
5G System Architect Sr Principal Software Developer,Software Engineering
Senior Software Engineer,Software Engineering
Python- Data Analytics -Senior Software Engineer,Software Engineering
Java Application Developer,Software Engineering
"User Experience Designer (Figma, Sketch, & InVision)",UI/UX
